real_name,_usecol:well_010_001_060_time:0.35,_usecol:well_010_001_060_time:0.7,_usecol:well_010_001_060_time:1.05,_usecol:well_010_001_060_time:1.4,_usecol:well_010_001_060_time:1.75,_usecol:well_010_001_060_time:2.1,_usecol:well_010_001_060_time:2.45,_usecol:well_010_001_060_time:2.8,_usecol:well_010_001_060_time:3.15,_usecol:well_010_001_060_time:3.5,_usecol:well_010_001_060_time:3.515,_usecol:well_010_001_060_time:3.53,_usecol:well_010_001_060_time:3.545,_usecol:well_010_001_060_time:3.56,_usecol:well_010_001_060_time:3.575,_usecol:well_010_001_060_time:3.59,_usecol:well_010_001_060_time:3.605,_usecol:well_010_001_060_time:3.62,_usecol:well_010_001_060_time:3.635,_usecol:well_010_001_060_time:3.65,_usecol:well_010_001_060_time:3.665,_usecol:well_010_001_060_time:3.68,_usecol:well_010_001_060_time:3.695,_usecol:well_010_001_060_time:3.71,_usecol:well_010_001_060_time:3.725,_usecol:well_010_001_060_time:3.74,_usecol:well_010_001_060_time:3.755,_usecol:well_010_001_060_time:3.77,_usecol:well_010_001_060_time:3.785,_usecol:well_010_001_060_time:3.8,_usecol:well_010_001_060_time:4.15,_usecol:well_010_001_060_time:4.5,_usecol:well_010_001_060_time:4.85,_usecol:well_010_001_060_time:5.2,_usecol:well_010_001_060_time:5.55,_usecol:well_010_001_060_time:5.9,_usecol:well_010_001_060_time:6.25,_usecol:well_010_001_060_time:6.6,_usecol:well_010_001_060_time:6.95,_usecol:well_010_001_060_time:7.3,_usecol:well_020_001_060_time:0.35,_usecol:well_020_001_060_time:0.7,_usecol:well_020_001_060_time:1.05,_usecol:well_020_001_060_time:1.4,_usecol:well_020_001_060_time:1.75,_usecol:well_020_001_060_time:2.1,_usecol:well_020_001_060_time:2.45,_usecol:well_020_001_060_time:2.8,_usecol:well_020_001_060_time:3.15,_usecol:well_020_001_060_time:3.5,_usecol:well_020_001_060_time:3.515,_usecol:well_020_001_060_time:3.53,_usecol:well_020_001_060_time:3.545,_usecol:well_020_001_060_time:3.56,_usecol:well_020_001_060_time:3.575,_usecol:well_020_001_060_time:3.59,_usecol:well_020_001_060_time:3.605,_usecol:well_020_001_060_time:3.62,_usecol:well_020_001_060_time:3.635,_usecol:well_020_001_060_time:3.65,_usecol:well_020_001_060_time:3.665,_usecol:well_020_001_060_time:3.68,_usecol:well_020_001_060_time:3.695,_usecol:well_020_001_060_time:3.71,_usecol:well_020_001_060_time:3.725,_usecol:well_020_001_060_time:3.74,_usecol:well_020_001_060_time:3.755,_usecol:well_020_001_060_time:3.77,_usecol:well_020_001_060_time:3.785,_usecol:well_020_001_060_time:3.8,_usecol:well_020_001_060_time:4.15,_usecol:well_020_001_060_time:4.5,_usecol:well_020_001_060_time:4.85,_usecol:well_020_001_060_time:5.2,_usecol:well_020_001_060_time:5.55,_usecol:well_020_001_060_time:5.9,_usecol:well_020_001_060_time:6.25,_usecol:well_020_001_060_time:6.6,_usecol:well_020_001_060_time:6.95,_usecol:well_020_001_060_time:7.3,_usecol:well_030_001_060_time:0.35,_usecol:well_030_001_060_time:0.7,_usecol:well_030_001_060_time:1.05,_usecol:well_030_001_060_time:1.4,_usecol:well_030_001_060_time:1.75,_usecol:well_030_001_060_time:2.1,_usecol:well_030_001_060_time:2.45,_usecol:well_030_001_060_time:2.8,_usecol:well_030_001_060_time:3.15,_usecol:well_030_001_060_time:3.5,_usecol:well_030_001_060_time:3.515,_usecol:well_030_001_060_time:3.53,_usecol:well_030_001_060_time:3.545,_usecol:well_030_001_060_time:3.56,_usecol:well_030_001_060_time:3.575,_usecol:well_030_001_060_time:3.59,_usecol:well_030_001_060_time:3.605,_usecol:well_030_001_060_time:3.62,_usecol:well_030_001_060_time:3.635,_usecol:well_030_001_060_time:3.65,_usecol:well_030_001_060_time:3.665,_usecol:well_030_001_060_time:3.68,_usecol:well_030_001_060_time:3.695,_usecol:well_030_001_060_time:3.71,_usecol:well_030_001_060_time:3.725,_usecol:well_030_001_060_time:3.74,_usecol:well_030_001_060_time:3.755,_usecol:well_030_001_060_time:3.77,_usecol:well_030_001_060_time:3.785,_usecol:well_030_001_060_time:3.8,_usecol:well_030_001_060_time:4.15,_usecol:well_030_001_060_time:4.5,_usecol:well_030_001_060_time:4.85,_usecol:well_030_001_060_time:5.2,_usecol:well_030_001_060_time:5.55,_usecol:well_030_001_060_time:5.9,_usecol:well_030_001_060_time:6.25,_usecol:well_030_001_060_time:6.6,_usecol:well_030_001_060_time:6.95,_usecol:well_030_001_060_time:7.3
gen=16_member=1505_diffevol,7.83735,1.07361,0.115661,0.0112546,0.00103627,9.78398e-05,1.06001e-05,1.58806e-06,3.21734e-07,7.69331e-08,9.89577e-08,1.05218e-07,1.05745e-07,1.03893e-07,1.00924e-07,9.73766e-08,9.35485e-08,8.96345e-08,8.57669e-08,8.20559e-08,7.86575e-08,7.59067e-08,7.45622e-08,7.62236e-08,8.38957e-08,1.02581e-07,1.39655e-07,2.04793e-07,3.09311e-07,4.65101e-07,0.000262785,0.00407002,0.00745504,0.00151152,0.00528848,0.00120705,0.000561809,0.000383372,6.96585e-05,2.16341e-05,12.1775,3.5944,0.695644,0.12057,0.0204866,0.00375133,0.000749381,0.000179204,4.58886e-05,1.19571e-05,1.3752e-05,1.42506e-05,1.41508e-05,1.37611e-05,1.32367e-05,1.2661e-05,1.20807e-05,1.15229e-05,1.10058e-05,1.05508e-05,1.02149e-05,1.01709e-05,1.08877e-05,1.34592e-05,2.00853e-05,3.45811e-05,6.26737e-05,0.00011186,0.000190807,0.000308531,0.022067,0.520835,0.926476,0.122449,0.589717,0.16499,0.0336843,0.0246389,0.00259037,0.000507956,18.0726,9.04913,3.11397,0.913337,0.244197,0.0639305,0.0165292,0.00449115,0.001229,0.000333408,0.00032747,0.000312805,0.000294429,0.000274811,0.000255301,0.000236649,0.000219246,0.000203335,0.000189292,0.000178735,0.000178492,0.000214538,0.000371945,0.000886237,0.00230891,0.00571486,0.0128209,0.0258388,0.0470006,0.0779521,0.935082,9.73926,6.28023,1.57574,7.71002,1.88622,0.35616,0.443694,0.0461823,0.00593418
gen=22_member=2119_diffevol,7.83735,1.07361,0.115661,0.0112546,0.00103627,9.78398e-05,1.06001e-05,1.58806e-06,3.21734e-07,7.69331e-08,9.89577e-08,1.05218e-07,1.05745e-07,1.03893e-07,1.00924e-07,9.73766e-08,9.35485e-08,8.96345e-08,8.57669e-08,8.20559e-08,7.86575e-08,7.59067e-08,7.45622e-08,7.62236e-08,8.38957e-08,1.02581e-07,1.39655e-07,2.04793e-07,3.09311e-07,4.65101e-07,4.31867e-07,1.92293e-07,6.3814e-08,1.03629e-06,1.18943e-07,4.54414e-06,3.75355e-07,1.02339e-07,1.71388e-07,3.18347e-08,12.1775,3.5944,0.695644,0.12057,0.0204866,0.00375133,0.000749381,0.000179204,4.58886e-05,1.19571e-05,1.3752e-05,1.42506e-05,1.41508e-05,1.37611e-05,1.32367e-05,1.2661e-05,1.20807e-05,1.15229e-05,1.10058e-05,1.05508e-05,1.02149e-05,1.01709e-05,1.08877e-05,1.34592e-05,2.00853e-05,3.45811e-05,6.26737e-05,0.00011186,0.000190807,0.000308531,0.000182894,0.000199659,3.97312e-05,0.000669819,3.58826e-05,0.000979598,6.88414e-05,1.44458e-05,3.22206e-05,4.29545e-06,18.0726,9.04913,3.11397,0.913337,0.244197,0.0639305,0.0165292,0.00449115,0.001229,0.000333408,0.00032747,0.000312805,0.000294429,0.000274811,0.000255301,0.000236649,0.000219246,0.000203335,0.000189292,0.000178735,0.000178492,0.000214538,0.000371945,0.000886237,0.00230891,0.00571486,0.0128209,0.0258388,0.0470006,0.0779521,0.625282,3.0003,0.796031,2.11475,0.378208,0.548919,0.279656,0.0196503,0.0179918,0.0027939
gen=10_member=925_diffevol,7.83735,1.07361,0.115661,0.0112546,0.00103627,9.78398e-05,1.06001e-05,1.58806e-06,3.21734e-07,7.69331e-08,9.89577e-08,1.05218e-07,1.05745e-07,1.03893e-07,1.00924e-07,9.73766e-08,9.35485e-08,8.96345e-08,8.57669e-08,8.20559e-08,7.86575e-08,7.59067e-08,7.45622e-08,7.62236e-08,8.38957e-08,1.02581e-07,1.39655e-07,2.04793e-07,3.09311e-07,4.65101e-07,0.000524442,0.00295592,0.000794026,0.000924775,0.000838626,0.00017638,7.7679e-05,2.49945e-05,1.08096e-05,2.49728e-05,12.1775,3.5944,0.695644,0.12057,0.0204866,0.00375133,0.000749381,0.000179204,4.58886e-05,1.19571e-05,1.3752e-05,1.42506e-05,1.41508e-05,1.37611e-05,1.32367e-05,1.2661e-05,1.20807e-05,1.15229e-05,1.10058e-05,1.05508e-05,1.02149e-05,1.01709e-05,1.08877e-05,1.34592e-05,2.00853e-05,3.45811e-05,6.26737e-05,0.00011186,0.000190807,0.000308531,0.0526559,0.748095,0.22585,0.086608,0.139803,0.0138249,0.00291723,0.000787954,0.000226846,0.000691315,18.0726,9.04913,3.11397,0.913337,0.244197,0.0639305,0.0165292,0.00449115,0.001229,0.000333408,0.00032747,0.000312805,0.000294429,0.000274811,0.000255301,0.000236649,0.000219246,0.000203335,0.000189292,0.000178735,0.000178492,0.000214538,0.000371945,0.000886237,0.00230891,0.00571486,0.0128209,0.0258388,0.0470006,0.0779521,1.42889,9.50996,2.21711,0.871927,2.11325,0.191888,0.0256404,0.00628253,0.00119222,0.00375406
gen=10_member=961_diffevol,7.83735,1.07361,0.115661,0.0112546,0.00103627,9.78398e-05,1.06001e-05,1.58806e-06,3.21734e-07,7.69331e-08,9.89577e-08,1.05218e-07,1.05745e-07,1.03893e-07,1.00924e-07,9.73766e-08,9.35485e-08,8.96345e-08,8.57669e-08,8.20559e-08,7.86575e-08,7.59067e-08,7.45622e-08,7.62236e-08,8.38957e-08,1.02581e-07,1.39655e-07,2.04793e-07,3.09311e-07,4.65101e-07,0.000324038,0.00547717,0.0106917,0.00219767,0.00675229,0.00187643,0.000796921,0.000575782,0.00010237,2.88499e-05,12.1775,3.5944,0.695644,0.12057,0.0204866,0.00375133,0.000749381,0.000179204,4.58886e-05,1.19571e-05,1.3752e-05,1.42506e-05,1.41508e-05,1.37611e-05,1.32367e-05,1.2661e-05,1.20807e-05,1.15229e-05,1.10058e-05,1.05508e-05,1.02149e-05,1.01709e-05,1.08877e-05,1.34592e-05,2.00853e-05,3.45811e-05,6.26737e-05,0.00011186,0.000190807,0.000308531,0.0183285,0.45634,0.880562,0.114726,0.507008,0.164573,0.0319936,0.0272555,0.00275322,0.000503105,18.0726,9.04913,3.11397,0.913337,0.244197,0.0639305,0.0165292,0.00449115,0.001229,0.000333408,0.00032747,0.000312805,0.000294429,0.000274811,0.000255301,0.000236649,0.000219246,0.000203335,0.000189292,0.000178735,0.000178492,0.000214538,0.000371945,0.000886237,0.00230891,0.00571486,0.0128209,0.0258388,0.0470006,0.0779521,0.886503,9.14013,6.24472,1.50163,7.23498,1.93878,0.357433,0.539084,0.0553461,0.00706488
gen=15_member=1421_diffevol,7.83735,1.07361,0.115661,0.0112546,0.00103627,9.78398e-05,1.06001e-05,1.58806e-06,3.21734e-07,7.69331e-08,9.89577e-08,1.05218e-07,1.05745e-07,1.03893e-07,1.00924e-07,9.73766e-08,9.35485e-08,8.96345e-08,8.57669e-08,8.20559e-08,7.86575e-08,7.59067e-08,7.45622e-08,7.62236e-08,8.38957e-08,1.02581e-07,1.39655e-07,2.04793e-07,3.09311e-07,4.65101e-07,0.00913311,0.0667444,0.0201764,0.0122629,0.00777147,0.00204966,0.000588717,0.000181493,9.68595e-05,0.000171534,12.1775,3.5944,0.695644,0.12057,0.0204866,0.00375133,0.000749381,0.000179204,4.58886e-05,1.19571e-05,1.3752e-05,1.42506e-05,1.41508e-05,1.37611e-05,1.32367e-05,1.2661e-05,1.20807e-05,1.15229e-05,1.10058e-05,1.05508e-05,1.02149e-05,1.01709e-05,1.08877e-05,1.34592e-05,2.00853e-05,3.45811e-05,6.26737e-05,0.00011186,0.000190807,0.000308531,0.0663906,0.982681,0.25537,0.0889448,0.0658045,0.00849111,0.00143866,0.000296069,9.83518e-05,0.000244007,18.0726,9.04913,3.11397,0.913337,0.244197,0.0639305,0.0165292,0.00449115,0.001229,0.000333408,0.00032747,0.000312805,0.000294429,0.000274811,0.000255301,0.000236649,0.000219246,0.000203335,0.000189292,0.000178735,0.000178492,0.000214538,0.000371945,0.000886237,0.00230891,0.00571486,0.0128209,0.0258388,0.0470006,0.0779521,1.68831,8.26219,1.80027,0.657313,0.855304,0.0979323,0.0127525,0.00265825,0.000743258,0.00214613
gen=65_member=6405_diffevol,7.83735,1.07361,0.115661,0.0112546,0.00103627,9.78398e-05,1.06001e-05,1.58806e-06,3.21734e-07,7.69331e-08,9.89577e-08,1.05218e-07,1.05745e-07,1.03893e-07,1.00924e-07,9.73766e-08,9.35485e-08,8.96345e-08,8.57669e-08,8.20559e-08,7.86575e-08,7.59067e-08,7.45622e-08,7.62236e-08,8.38957e-08,1.02581e-07,1.39655e-07,2.04793e-07,3.09311e-07,4.65101e-07,3.08899e-06,2.61788e-06,4.94088e-07,1.09689e-05,9.93882e-07,2.12093e-05,2.17688e-06,8.74934e-07,2.03639e-06,3.8418e-07,12.1775,3.5944,0.695644,0.12057,0.0204866,0.00375133,0.000749381,0.000179204,4.58886e-05,1.19571e-05,1.3752e-05,1.42506e-05,1.41508e-05,1.37611e-05,1.32367e-05,1.2661e-05,1.20807e-05,1.15229e-05,1.10058e-05,1.05508e-05,1.02149e-05,1.01709e-05,1.08877e-05,1.34592e-05,2.00853e-05,3.45811e-05,6.26737e-05,0.00011186,0.000190807,0.000308531,0.000232144,0.000504733,0.000135988,0.0011548,0.00015475,0.000996346,0.000150697,2.58454e-05,7.44093e-05,9.24345e-06,18.0726,9.04913,3.11397,0.913337,0.244197,0.0639305,0.0165292,0.00449115,0.001229,0.000333408,0.00032747,0.000312805,0.000294429,0.000274811,0.000255301,0.000236649,0.000219246,0.000203335,0.000189292,0.000178735,0.000178492,0.000214538,0.000371945,0.000886237,0.00230891,0.00571486,0.0128209,0.0258388,0.0470006,0.0779521,0.577682,3.54741,1.2985,2.09793,1.1045,0.520434,0.47164,0.028811,0.029357,0.00466367
gen=34_member=3371_diffevol,7.83735,1.07361,0.115661,0.0112546,0.00103627,9.78398e-05,1.06001e-05,1.58806e-06,3.21734e-07,7.69331e-08,9.89577e-08,1.05218e-07,1.05745e-07,1.03893e-07,1.00924e-07,9.73766e-08,9.35485e-08,8.96345e-08,8.57669e-08,8.20559e-08,7.86575e-08,7.59067e-08,7.45622e-08,7.62236e-08,8.38957e-08,1.02581e-07,1.39655e-07,2.04793e-07,3.09311e-07,4.65101e-07,2.63142e-06,1.73624e-06,5.17682e-07,6.84228e-06,7.66456e-07,2.34631e-05,2.10717e-06,8.65698e-07,1.54425e-06,3.01405e-07,12.1775,3.5944,0.695644,0.12057,0.0204866,0.00375133,0.000749381,0.000179204,4.58886e-05,1.19571e-05,1.3752e-05,1.42506e-05,1.41508e-05,1.37611e-05,1.32367e-05,1.2661e-05,1.20807e-05,1.15229e-05,1.10058e-05,1.05508e-05,1.02149e-05,1.01709e-05,1.08877e-05,1.34592e-05,2.00853e-05,3.45811e-05,6.26737e-05,0.00011186,0.000190807,0.000308531,0.000152492,0.000298873,0.000107765,0.000684968,6.68254e-05,0.00102074,6.46826e-05,1.64046e-05,4.53702e-05,5.46761e-06,18.0726,9.04913,3.11397,0.913337,0.244197,0.0639305,0.0165292,0.00449115,0.001229,0.000333408,0.00032747,0.000312805,0.000294429,0.000274811,0.000255301,0.000236649,0.000219246,0.000203335,0.000189292,0.000178735,0.000178492,0.000214538,0.000371945,0.000886237,0.00230891,0.00571486,0.0128209,0.0258388,0.0470006,0.0779521,0.68145,3.84497,1.21402,2.61319,0.7452,0.824731,0.358747,0.0270209,0.0350884,0.00502622
gen=48_member=4768_diffevol,7.83735,1.07361,0.115661,0.0112546,0.00103627,9.78398e-05,1.06001e-05,1.58806e-06,3.21734e-07,7.69331e-08,9.89577e-08,1.05218e-07,1.05745e-07,1.03893e-07,1.00924e-07,9.73766e-08,9.35485e-08,8.96345e-08,8.57669e-08,8.20559e-08,7.86575e-08,7.59067e-08,7.45622e-08,7.62236e-08,8.38957e-08,1.02581e-07,1.39655e-07,2.04793e-07,3.09311e-07,4.65101e-07,0.000660305,0.00685766,0.0068704,0.00161751,0.00734004,0.00176896,0.00088697,0.00108767,0.00020956,6.08643e-05,12.1775,3.5944,0.695644,0.12057,0.0204866,0.00375133,0.000749381,0.000179204,4.58886e-05,1.19571e-05,1.3752e-05,1.42506e-05,1.41508e-05,1.37611e-05,1.32367e-05,1.2661e-05,1.20807e-05,1.15229e-05,1.10058e-05,1.05508e-05,1.02149e-05,1.01709e-05,1.08877e-05,1.34592e-05,2.00853e-05,3.45811e-05,6.26737e-05,0.00011186,0.000190807,0.000308531,0.0112674,0.267721,0.792958,0.0717055,0.260274,0.155719,0.0178155,0.0151622,0.00164131,0.000250869,18.0726,9.04913,3.11397,0.913337,0.244197,0.0639305,0.0165292,0.00449115,0.001229,0.000333408,0.00032747,0.000312805,0.000294429,0.000274811,0.000255301,0.000236649,0.000219246,0.000203335,0.000189292,0.000178735,0.000178492,0.000214538,0.000371945,0.000886237,0.00230891,0.00571486,0.0128209,0.0258388,0.0470006,0.0779521,0.447608,6.63619,7.41123,1.0307,4.73369,2.32503,0.223115,0.23319,0.030425,0.00255478
gen=40_member=3914_diffevol,7.83735,1.07361,0.115661,0.0112546,0.00103627,9.78398e-05,1.06001e-05,1.58806e-06,3.21734e-07,7.69331e-08,9.89577e-08,1.05218e-07,1.05745e-07,1.03893e-07,1.00924e-07,9.73766e-08,9.35485e-08,8.96345e-08,8.57669e-08,8.20559e-08,7.86575e-08,7.59067e-08,7.45622e-08,7.62236e-08,8.38957e-08,1.02581e-07,1.39655e-07,2.04793e-07,3.09311e-07,4.65101e-07,6.73288e-08,8.83933e-09,6.12926e-08,9.16232e-09,5.0459e-08,2.16056e-07,2.45914e-08,2.22392e-08,1.72372e-08,3.65942e-09,12.1775,3.5944,0.695644,0.12057,0.0204866,0.00375133,0.000749381,0.000179204,4.58886e-05,1.19571e-05,1.3752e-05,1.42506e-05,1.41508e-05,1.37611e-05,1.32367e-05,1.2661e-05,1.20807e-05,1.15229e-05,1.10058e-05,1.05508e-05,1.02149e-05,1.01709e-05,1.08877e-05,1.34592e-05,2.00853e-05,3.45811e-05,6.26737e-05,0.00011186,0.000190807,0.000308531,4.50156e-05,1.87913e-05,4.13156e-05,2.38867e-05,1.76176e-05,0.000168909,8.24515e-06,5.38852e-06,9.96187e-06,1.20691e-06,18.0726,9.04913,3.11397,0.913337,0.244197,0.0639305,0.0165292,0.00449115,0.001229,0.000333408,0.00032747,0.000312805,0.000294429,0.000274811,0.000255301,0.000236649,0.000219246,0.000203335,0.000189292,0.000178735,0.000178492,0.000214538,0.000371945,0.000886237,0.00230891,0.00571486,0.0128209,0.0258388,0.0470006,0.0779521,1.10532,2.9349,1.00847,1.75632,0.210859,1.2474,0.0857088,0.0289899,0.0780437,0.00981134
gen=38_member=3701_diffevol,7.83735,1.07361,0.115661,0.0112546,0.00103627,9.78398e-05,1.06001e-05,1.58806e-06,3.21734e-07,7.69331e-08,9.89577e-08,1.05218e-07,1.05745e-07,1.03893e-07,1.00924e-07,9.73766e-08,9.35485e-08,8.96345e-08,8.57669e-08,8.20559e-08,7.86575e-08,7.59067e-08,7.45622e-08,7.62236e-08,8.38957e-08,1.02581e-07,1.39655e-07,2.04793e-07,3.09311e-07,4.65101e-07,1.15663e-07,1.9149e-08,4.15957e-08,3.55401e-08,1.983e-08,8.16963e-07,7.41859e-08,2.15653e-08,2.18821e-08,4.34199e-09,12.1775,3.5944,0.695644,0.12057,0.0204866,0.00375133,0.000749381,0.000179204,4.58886e-05,1.19571e-05,1.3752e-05,1.42506e-05,1.41508e-05,1.37611e-05,1.32367e-05,1.2661e-05,1.20807e-05,1.15229e-05,1.10058e-05,1.05508e-05,1.02149e-05,1.01709e-05,1.08877e-05,1.34592e-05,2.00853e-05,3.45811e-05,6.26737e-05,0.00011186,0.000190807,0.000308531,2.48847e-05,9.7972e-06,7.33225e-06,2.28677e-05,2.68008e-06,0.000120024,5.80589e-06,1.36883e-06,2.58195e-06,3.38444e-07,18.0726,9.04913,3.11397,0.913337,0.244197,0.0639305,0.0165292,0.00449115,0.001229,0.000333408,0.00032747,0.000312805,0.000294429,0.000274811,0.000255301,0.000236649,0.000219246,0.000203335,0.000189292,0.000178735,0.000178492,0.000214538,0.000371945,0.000886237,0.00230891,0.00571486,0.0128209,0.0258388,0.0470006,0.0779521,0.713655,2.2124,0.512549,1.6393,0.10811,0.74494,0.115721,0.013549,0.0198962,0.00268544
